,index_x,Final_Tags
1,"Now after Jesus was born in Bethlehem of Judea in the days of Herod the king, magi from the east arrived in Jerusalem, saying,",MAT-1-1
3,"``Where is He who has been born King of the Jews? For we saw His star in the east and have come to worship Him.""",MAT-1-2
5,"When Herod the king heard this, he was troubled, and all Jerusalem with him.",MAT-1-3
7,"Gathering together all the chief priests and scribes of the people, he inquired of them where the Messiah was to be born.",MAT-1-4
9,"They said to him, ``In Bethlehem of Judea; for this is what has been written by the prophet:",MAT-1-5
11,"`AND YOU, BETHLEHEM, LAND OF JUDAH, ARE BY NO MEANS LEAST AMONG THE LEADERS OF JUDAH; FOR OUT OF YOU SHALL COME FORTH A RULER WHO WILL SHEPHERD MY PEOPLE ISRAEL.'""",MAT-1-6
13,Then Herod secretly called the magi and determined from them the exact time the star appeared.,MAT-1-7
15,"And he sent them to Bethlehem and said, ``Go and search carefully for the Child; and when you have found Him, report to me, so that I too may come and worship Him.""",MAT-1-8
17,"After hearing the king, they went their way; and the star, which they had seen in the east, went on before them until it came and stood over the place where the Child was.",MAT-1-9
19,"When they saw the star, they rejoiced exceedingly with great joy.",MAT-1-10
21,"After coming into the house they saw the Child with Mary His mother; and they fell to the ground and worshiped Him. Then, opening their treasures, they presented to Him gifts of gold, frankincense, and myrrh.",MAT-1-11
23,"And having been warned by God in a dream not to return to Herod, the magi left for their own country by another way.",MAT-1-12
25,"Now when they had gone, behold, an angel of the Lord appeared to Joseph in a dream and said, ``Get up! Take the Child and His mother and flee to Egypt, and remain there until I tell you; for Herod is going to search for the Child to destroy Him.""",MAT-1-13
27,"So Joseph got up and took the Child and His mother while it was still night, and left for Egypt.",MAT-1-14
29,"He remained there until the death of Herod. This was to fulfill what had been spoken by the Lord through the prophet: ``OUT OF EGYPT I CALLED MY SON.""",MAT-1-15
31,"Then when Herod saw that he had been tricked by the magi, he became very enraged, and sent and slew all the male children who were in Bethlehem and all its vicinity, from two years old and under, according to the time which he had determined from the magi.",MAT-1-16
33,Then what had been spoken through Jeremiah the prophet was fulfilled:,MAT-1-17
35,"``A VOICE WAS HEARD IN RAMAH, WEEPING AND GREAT MOURNING, RACHEL WEEPING FOR HER CHILDREN; AND SHE REFUSED TO BE COMFORTED, BECAUSE THEY WERE NO MORE.""",MAT-1-18
37,"But when Herod died, behold, an angel of the Lord appeared in a dream to Joseph in Egypt, and said,",MAT-1-19
39,"``Get up, take the Child and His mother, and go into the land of Israel; for those who sought the Child's life are dead.""",MAT-1-20
41,"So Joseph got up, took the Child and His mother, and came into the land of Israel.",MAT-1-21
43,"But when he heard that Archelaus was reigning over Judea in place of his father Herod, he was afraid to go there. Then after being warned by God in a dream, he left for the regions of Galilee,",MAT-1-22
45,"and came and lived in a city called Nazareth. This was to fulfill what was spoken through the prophets: ``He shall be called a Nazarene.""Copyrighted Material",MAT-1-23
1,"Now in those days John the Baptist came, preaching in the wilderness of Judea, saying,",MAT-2-1
3,"``Repent, for the kingdom of heaven is at hand.""",MAT-2-2
5,"For this is the one referred to by Isaiah the prophet when he said, ``THE VOICE OF ONE CRYING IN THE WILDERNESS, `MAKE READY THE WAY OF THE LORD, MAKE HIS PATHS STRAIGHT!'""",MAT-2-3
7,Now John himself had a garment of camel's hair and a leather belt around his waist; and his food was locusts and wild honey.,MAT-2-4
9,"Then Jerusalem was going out to him, and all Judea and all the district around the Jordan;",MAT-2-5
11,"and they were being baptized by him in the Jordan River, as they confessed their sins.",MAT-2-6
13,"But when he saw many of the Pharisees and Sadducees coming for baptism, he said to them, ``You brood of vipers, who warned you to flee from the wrath to come?",MAT-2-7
15,``Therefore bear fruit in keeping with repentance;,MAT-2-8
17,"and do not suppose that you can say to yourselves, `We have Abraham for our father'; for I say to you that from these stones God is able to raise up children to Abraham.",MAT-2-9
19,``The axe is already laid at the root of the trees; therefore every tree that does not bear good fruit is cut down and thrown into the fire.,MAT-2-10
21,"``As for me, I baptize you with water for repentance, but He who is coming after me is mightier than I, and I am not fit to remove His sandals; He will baptize you with the Holy Spirit and fire.",MAT-2-11
23,"``His winnowing fork is in His hand, and He will thoroughly clear His threshing floor; and He will gather His wheat into the barn, but He will burn up the chaff with unquenchable fire.""",MAT-2-12
25,"Then Jesus arrived from Galilee at the Jordan coming to John, to be baptized by him.",MAT-2-13
27,"But John tried to prevent Him, saying, ``I have need to be baptized by You, and do You come to me?""",MAT-2-14
29,"But Jesus answering said to him, ``Permit it at this time; for in this way it is fitting for us to fulfill all righteousness."" Then he permitted Him.",MAT-2-15
31,"After being baptized, Jesus came up immediately from the water; and behold, the heavens were opened, and he saw the Spirit of God descending as a dove and lighting on Him,",MAT-2-16
33,"and behold, a voice out of the heavens said, ``This is My beloved Son, in whom I am well-pleased.""Copyrighted Material",MAT-2-17
1,Then Jesus was led up by the Spirit into the wilderness to be tempted by the devil.,MAT-3-1
3,"And after He had fasted forty days and forty nights, He then became hungry.",MAT-3-2
5,"And the tempter came and said to Him, ``If You are the Son of God, command that these stones become bread.""",MAT-3-3
7,"But He answered and said, ``It is written, `MAN SHALL NOT LIVE ON BREAD ALONE, BUT ON EVERY WORD THAT PROCEEDS OUT OF THE MOUTH OF GOD.'""",MAT-3-4
9,"Then the devil took Him into the holy city and had Him stand on the pinnacle of the temple,",MAT-3-5
11,"and said to Him, ``If You are the Son of God, throw Yourself down; for it is written, `HE WILL COMMAND HIS ANGELS CONCERNING YOU'; and `ON their HANDS THEY WILL BEAR YOU UP, SO THAT YOU WILL NOT STRIKE YOUR FOOT AGAINST A STONE.'""",MAT-3-6
13,"Jesus said to him, ``On the other hand, it is written, `YOU SHALL NOT PUT THE LORD YOUR GOD TO THE TEST.'""",MAT-3-7
15,"Again, the devil took Him to a very high mountain and showed Him all the kingdoms of the world and their glory;",MAT-3-8
17,"and he said to Him, ``All these things I will give You, if You fall down and worship me.""",MAT-3-9
