,index_x,Final_Tags
1,"Rey Herodespa p'unchayninkunapin, Judea probinsiapi kashaq Belén llaqtapi Jesusqa naserqan. Hinan chayllaman, inti lloqsimuy ladomanta Jerusalén llaqtaman, ch'askakunapi qhawaq yachaysapakuna chayamurqanku.",MAT-1-1
3,"Nirqankutaq: —¿Judío runakunaq Reynin naseqri maypitaq kashan? Inti lloqsimuy ladopi kashaspaykun, ch'askanta rikumurqayku. Chaymi payta yupaychaq hamushayku, nispanku.",MAT-1-2
5,"Chayta uyarispantaqmi, rey Herodesqa llapan Jerusalén llaqtapi kaqkunapiwan, llakisqa karqanku.",MAT-1-3
7,"Hinan llaqtamanta llapan umalliq saserdotekunatawan, kamachikuy simita yachachiqkunatawan waqyachispan, paykunata tapurqan: —¿Maypitaq Cristori nasenan karqan? nispa.",MAT-1-4
9,Paykunataqmi kutichirqanku: —Judea probinsiapi kashaq Belén llaqtapipunin nasenan karqan. Diospa rantinpi rimaqpas paymantaqa qelqarqanmi.,MAT-1-5
11,"Chay qelqasqantaqmi nin: ‘Judá suyupi kashaq Belén llaqtamantan huk umalliq lloqsinqa. Paymi Israel llaqtayta michinqa. Chayrayku, Judá chawpipi umalliqkunamanta qanqa manamá huch'uychallachu kanki,’ nispan, nispanku. (Mik. 5:2)",MAT-1-6
13,"Hinaqtinmi Herodesqa, ch'askakunapi qhawaq yachaysapakunata pakallapi waqyachispan, ch'askaq imayna tiempoña rikhurimusqanmanta allintapuni tapurqan.",MAT-1-7
15,"Belén llaqtaman paykunata kachaspantaqmi, nirqan: —Haqayta riychis, hinaspa chay wawamanta allintapuni tapukamuychis. Tariruspaykichistaq, ñoqapas yupaychaq rinaypaq willaykamuwankichis, nispa.",MAT-1-8
17,"Reyta uyarispanku hinataq, paykunaqa ripurqanku. Hinan chayllaman inti lloqsimuy ladopi kashaspa rikumusqanku ch'askaqa, paykunaq ñawpaqenkuta wawaq kasqanpa hawanpi sayaykunankama rirqan.",MAT-1-9
19,"Ch'askata rikuruspankutaq, hatun q'ochukuywan anchatapuni kusikurqanku.",MAT-1-10
21,"Wasiman haykuykuspankutaq, wawata, maman Mariatawan rikurqanku. Hinan qonqoriykukuspanku, wawata yupaycharqanku. Qhapaqkay waqaychanankuta kicharispankutaq, qokuykunata haywarqanku. Qorita, insiensota, mirrata ima haywarqanku.",MAT-1-11
23,"Herodesman mana kutinankupaq mosqhoypi willasqa kaspankutaqmi ichaqa, wak ñanninta karu llaqtankuman kutipurqanku.",MAT-1-12
25,"Yachayniyoqkuna ripuqtinku hinataq, chayllaman Señorpa huk angelnin Joseman mosqhoypi rikhurirqan. Hinan nirqan: —Herodesmi wawata wañuchinanpaq maskhamunqa. Chayrayku sayariy. Hinaspataq wawata, mamantawan pusarikuspa, Egipto suyuman ayqey. Hinan chaypi willanaykama kamunki, nispa.",MAT-1-13
27,"Chaymi Joseqa rikch'arispan, kasqan tutapacha wawata, mamantawan pusarikuspa, Egipto suyuman ripurqan.",MAT-1-14
29,"Chaypitaq Herodespa wañunankama kamurqan. Chay hinapin, Diospa rantinpi rimaqpa chawpinta Señorpa nisqan hunt'akunankama kamurqan. Señorqa nirqanmi: Egipto suyumantan Wawaytaqa waqyampurqani, nispan. (Ose. 11:1)",MAT-1-15
31,"Herodesqa, paymanta yachaysapakunaq q'otuspa pukllakusqankupi rikukuspanmi, sinchita phiñakurqan. Hinaqtinmi Belén llaqtapi, hinallataq muyuriqnintinpi, imayna tiempoñachus pasasqanta yachaysapakunata tapurqan. Hinan chayta yachaspan, iskay watayoqmanta urayman, llapan qhari wawakunata wañuchimunankupaq kamachikurqan.",MAT-1-16
33,"Chay hinapin, Diospa rantinpi rimaq Jeremiaspa nisqan hunt'akurqan.",MAT-1-17
35,"Paymi nirqan: ‘Ramá llaqtapin huk kunkata uyarirqanku. Hatun waqapakuy, waqay, qapariy iman karqan. Raquelmi wawankunamanta waqan. Manaña wawankuna kapusqanraykun, mana sonqochasqa kaytaqa munarqanchu,’ nispa.(Jer. 31:15)",MAT-1-18
37,"Herodespa wañupusqan qhepatataq ichaqa, chayllaman Señorpa huk angelnin, Egipto suyupi Joseman mosqhoypi rikhurirqan.",MAT-1-19
39,"Hinan nirqan: ―Sayariy, hinaspa wawata, mamantawan pusarikuspa, Israel llaqtaman ripuy. Wawata wañuchiy munaqkunaqa wañupunkuñan, nispa.",MAT-1-20
41,"Hinaqtinmi Joseqa sayariruspan, wawata, mamantawan pusarikuspan, Israel llaqtaman ripurqan.",MAT-1-21
43,"Ichaqa Judea probinsiapi, taytan Herodespa rantinpi, Arquelao rey kasqanta uyarispantaqmi, chayman riyta manchakurqan. Hinan mosqhoy rikhuriypi willasqa kaspan, Galilea pribinsiaman ripurqan.",MAT-1-22
45,"Diospa rantinpi rimaqkunan nisqaku karqan: —Nazaret llaqtayoq sutiwan sutichasqan kanan karqan, nispanku. Chay nisqanku hunt'akunanpaqmi, Nazaret sutiyoq llaqtaman chayarqan. Hinan chaypi tiyapurqan. (Isa. 11:1)Copyrighted Material",MAT-1-23
1,"Haqay p'unchaykunapitaqmi, bautisaq Juanqa Judea cheqas ch'inniqpi willakuspa rikhurimurqan.",MAT-2-1
3,"Nirqantaq: —Hanaq pacha qhapaq suyun sispaykamunña. Chayrayku yuyayman kutirikuychis, nispa.",MAT-2-2
